Frame,X,Y
1,214,89
2,214,89
3,214,89
4,214,89
5,214,89
6,214,89
7,214,89
8,214,89
9,214,89
10,214,89
11,214,89
12,214,89
13,214,89
14,214,89
15,214,89
16,214,89
17,214,89
18,214,89
19,214,89
20,214,89
21,214,89
22,214,89
23,214,89
24,214,89
25,214,89
26,214,89
27,214,89
28,214,89
29,214,89
30,214,89
31,214,89
32,214,89
33,214,89
34,214,89
35,214,89
36,214,89
37,214,89
38,214,89
39,214,89
40,214,89
41,214,89
42,214,89
43,214,89
44,214,89
45,214,89
46,214,89
47,214,89
48,214,89
166,212,199
167,210,200
168,207,204
169,205,206
170,201,210
171,197,213
172,195,215
173,191,218
174,188,219
175,183,222
176,180,224
177,175,226
178,170,228
179,167,229
180,164,230
181,158,232
182,152,233
183,149,234
184,144,234
185,141,235
186,136,235
187,132,235
188,131,235
189,129,235
190,128,235
191,128,235
192,128,235
193,128,235
194,128,234
195,128,234
196,127,234
197,126,234
198,126,234
199,123,234
200,120,234
201,118,234
202,113,233
203,110,233
